ID,英文名稱,中文名稱,圖片,化學式,更新日期
535965,sec-pentyl,二級-戊基,,CH<sub>3</sub>CH<sub>2</sub>CH<sub>2</sub>CH(CH<sub>3</sub>)－,2021-09-28
535966,pentyl {amyl},戊基,,C<sub>5</sub>H<sub>1</sub><sub>1</sub>－,2012-11-26
535967,pentylidene,亞戊基,,CH<sub>3</sub>(CH<sub>2</sub>)<sub>3</sub>CH=,2012-11-26
535968,pentylidyne,次戊基,,CH<sub>3</sub>(CH<sub>2</sub>)<sub>3</sub>C≣,2012-11-26
535969,pentyloxy,戊氧基,,CH<sub>3</sub>(CH<sub>2</sub>)<sub>3</sub>CH<sub>2</sub>O－,2012-11-26
535970,perchloryl,過氯醯基,,O<sub>3</sub>Cl－,2012-11-26
535971,perimidinyl,【口叵】啶基,,C<sub>1</sub><sub>1</sub>H<sub>7</sub>N<sub>2</sub>－,2012-11-26
535972,perylenyl,苝基,,C<sub>20</sub>H<sub>1</sub><sub>1</sub>－,2012-11-26
535973,phenacyl,苯甲醯甲基,,C<sub>6</sub>H<sub>5</sub>COCH<sub>2</sub>－,2012-11-26
535974,phenacylidene,苯甲醯亞甲基,,C<sub>6</sub>H<sub>5</sub>COCH=,2012-11-26
535975,phenalenyl,丙烯合萘基；萉基,,C<sub>1</sub><sub>3</sub>H<sub>9</sub>－,2012-11-26
535976,phenanthridinyl,啡啶基；5-氮菲基,,C<sub>1</sub><sub>3</sub>H<sub>8</sub>N－,2012-11-26
535977,phenanthrolinyl,啡啉基,,N<sub>2</sub>C<sub>1</sub><sub>2</sub>H<sub>7</sub>－,2012-11-26
535978,phenanthryl,菲基,,C<sub>1</sub><sub>4</sub>H<sub>9</sub>－,2012-11-26
535979,phenanthrylene,伸菲基,,－C<sub>1</sub><sub>4</sub>H<sub>8</sub>－,2012-11-26
535980,phenarsazinyl,啡呻【口井】基,,AsNC<sub>1</sub><sub>2</sub>H<sub>7</sub>－,2012-11-26
535981,phenazinyl,啡【口井】基,,N<sub>2</sub>C<sub>1</sub><sub>2</sub>H<sub>7</sub>－,2012-11-26
535982,phenenyl,低苯基,,C<sub>6</sub>H<sub>3</sub>≡,2012-11-26
535983,phenethyl,苯乙基,,C<sub>6</sub>H<sub>5</sub>CH<sub>2</sub>CH<sub>2</sub>－,2012-11-26
535984,"phenetidino (o-, m-, or p-)",乙氧苯胺基（鄰-、間-、對-）,,<p>C<sub>2</sub>H<sub>5</sub>OC<sub>6</sub>H<sub>4</sub>NH－</p>,2012-11-26
535985,phenetyl,乙氧苯基,,C<sub>2</sub>H<sub>5</sub>OC<sub>6</sub>H<sub>4</sub>－,2012-11-26
535986,phenothiazinyl,啡噻【口井】基,,SNC<sub>1</sub><sub>2</sub>H<sub>8</sub>－,2012-11-26
535987,phenoxathiinyl,啡【口咢】噻基,,OSC<sub>1</sub><sub>2</sub>H<sub>7</sub>－,2012-11-26
535988,phenoxazinyl,啡【口咢】【口井】基,,ONC<sub>1</sub><sub>2</sub>H<sub>8</sub>－,2012-11-26
535989,phenoxy,苯氧基,,C<sub>6</sub>H<sub>5</sub>O－,2012-11-26
535990,phenyl,苯基,,C<sub>6</sub>H<sub>5</sub>－,2012-11-26
535991,phenylacetyl {α-toluoyl},苯乙醯基 {α-【草(之上)叨】甲醯基},,C<sub>6</sub>H<sub>5</sub>CH<sub>2</sub>CO－,2012-11-26
535992,phenylazo,苯偶氮基,,C<sub>6</sub>H<sub>5</sub>N＝N－,2012-11-26
535993,phenylazoxy,苯(氧偶氮)基,,C<sub>6</sub>H<sub>5</sub>N(O)N－,2012-11-26
535994,phenylcarbamido,苯胺甲醯胺基；苯脲基,,C<sub>6</sub>H<sub>5</sub>NHCONH－,2012-11-26
535995,phenylcarbamoyl,苯胺甲醯基,,C<sub>6</sub>H<sub>5</sub>NHCO－,2012-11-26
535996,phenylene,伸苯基,,－C<sub>6</sub>H<sub>4</sub>－,2012-11-26
535997,phenylenebisazo,伸苯雙偶氮基,,－N=NC<sub>6</sub>H<sub>4</sub>N=N－,2012-11-26
535998,"phenylenedimethylene {α,α’-xylylene}","伸苯二甲基 {α,α’-伸茬基}",,－CH<sub>2</sub>C<sub>6</sub>H<sub>4</sub>CH<sub>2</sub>－,2012-11-26
535999,phenylidene,亞環己二烯基,,C<sub>6</sub>H<sub>6</sub>=,2012-11-26
536000,phenylimino,苯亞胺基,,C<sub>6</sub>H<sub>5</sub>N=,2012-11-26
536001,α-phenylphenacyl,α-苯基苯甲醯甲基,,C<sub>6</sub>H<sub>5</sub>COCH(C<sub>6</sub>H<sub>5</sub>)－,2012-11-26
536002,2-phenylpropanoyl {hydratropoyl},2-苯丙醯基,,C<sub>6</sub>H<sub>5</sub>CH(CH<sub>3</sub>)CO－,2012-11-26
536003,3-phenylpropenoyl {cinnamoyl},3-苯丙烯醯基 {桂皮醯基},,C<sub>6</sub>H<sub>5</sub>CH＝CHCO－,2012-11-26
536004,phenylsulfamoyl {phenylsulfamyl},苯胺碸基；苯胺磺醯基,,C<sub>6</sub>H<sub>5</sub>NHSO<sub>2</sub>－,2012-11-26
536005,phenylsulfamyl {phenylsulfamoyl},苯胺碸基；苯胺磺醯基,,C<sub>6</sub>H<sub>5</sub>NHSO<sub>2</sub>－,2012-11-26
536006,phenylsulfinyl,苯亞磺醯基,,C<sub>6</sub>H<sub>5</sub>SO－,2012-11-26
536007,phenylsulfonyl,苯磺醯基,,C<sub>6</sub>H<sub>5</sub>SO<sub>2</sub>－,2012-11-26
536008,phenylsulfonylamino,苯磺醯胺基,,C<sub>6</sub>H<sub>5</sub>SO<sub>2</sub>NH－,2012-11-26
536009,phenylthio,苯硫基,,C<sub>6</sub>H<sub>5</sub>S－,2012-11-26
536010,3-phenylureido,苯脲基,,C<sub>6</sub>H<sub>5</sub>NHCONH－,2012-11-26
536011,phenylthiocarbamyl; phenylthiocarbamoyl,苯胺硫甲醯基,,C<sub>6</sub>H<sub>5</sub>NHCS－,2012-11-26
536012,phospharseno,磷砷基；磷[代偶]砷基,,－P＝As－,2012-11-26
536013,phosphazo,磷氮基；磷[代偶]氮基,,－P＝N－,2012-11-26
536014,phosphinico,異次磷酸亞基,,<p>(HO)OP&lt;</p>,2012-11-26
536015,phosphino,膦基,,H<sub>2</sub>P－,2012-11-26
536016,phospho,二氧磷基,,O<sub>2</sub>P－,2012-11-26
536017,phosphono,異亞磷酸基,,<p>(HO)<sub>2</sub>OP－</p>,2012-11-26
536018,phosphoro,偶磷基,,－P＝P－,2012-11-26
536019,phosphoroso,[一]氧磷基,,OP－,2012-11-26
536020,phthalamoyl,酞醯胺醯基,,o-H<sub>2</sub>NCOC<sub>6</sub>H<sub>4</sub>CO－,2012-11-26
536021,phthalazinyl,呔【口井】基,,N<sub>2</sub>C<sub>8</sub>H<sub>5</sub>－,2012-11-26
536022,phthalidyl,酞基,,,2012-11-26
536023,phthalidylidene,亞酞基,,C<sub>6</sub>H<sub>4</sub>COOC=,2012-11-26
536024,phthalimido,酞醯亞胺基,,C<sub>8</sub>H<sub>4</sub>O<sub>2</sub>N－,2012-11-26
536025,phthaloyl,酞醯基；鄰-苯二甲醯基,,<p>－COC<sub>6</sub>H<sub>4</sub>CO－</p>,2012-11-26
536026,phthalylidene,鄰-苯二亞甲基,,<p>=HCC<sub>6</sub>H<sub>4</sub>CH=</p>,2012-11-26
536027,phytyl,植基,,C<sub>20</sub>H<sub>3</sub><sub>9</sub>－,2012-11-26
536028,picenyl,苉基,,C<sub>2</sub><sub>2</sub>H<sub>1</sub><sub>3</sub>－,2012-11-26
536029,picryl,"苦味[酸]基；2,4,6-三硝苯基",,(O<sub>2</sub>N)<sub>3</sub>C<sub>6</sub>H<sub>2</sub>－,2012-11-26
536030,pimeloyl,庚二醯基,,－CO(CH<sub>2</sub>)<sub>5</sub>CO－,2012-11-26
536031,pinanyl,蒎基,,C<sub>10</sub>H<sub>1</sub><sub>7</sub>－,2012-11-26
536032,pinanylene,伸蒎基,,－C<sub>10</sub>H<sub>1</sub><sub>6</sub>－,2012-11-26
536033,pinanylidene,亞蒎基,,C<sub>10</sub>H<sub>1</sub><sub>6</sub>＝,2012-11-26
536034,piperazinyl,六氫吡【口井】基；哌【口井】基,,N<sub>2</sub>C<sub>4</sub>H<sub>9</sub>－,2012-11-26
536035,piperidino,N-六氫吡啶基,,C<sub>5</sub>H<sub>10</sub>N－,2012-11-26
536036,piperidyl,哌啶基,,C<sub>5</sub>H<sub>10</sub>N－,2012-11-26
536037,piperidylidene,亞六氫吡啶基,,NC<sub>5</sub>H<sub>9</sub>＝,2012-11-26
536038,piperonyl,"向日葵基；3,4-亞甲二氧苄基",,(CH<sub>2</sub>O<sub>2</sub>)C<sub>6</sub>H<sub>3</sub>CH<sub>2</sub>－,2012-11-26
536039,piperonylidene,"亞向日葵基；3,4-亞甲二氧苯亞甲基",,(CH<sub>2</sub>O<sub>2</sub>)C<sub>6</sub>H<sub>3</sub>CH=,2012-11-26
536040,piperonyloyl,向日葵醯基,,"3,4-(CH<sub>2</sub>O<sub>2</sub>)C<sub>6</sub>H<sub>3</sub>CO－",2012-11-26
536041,"piperonyloyl; heliotropoyl {3,4-methylenedioxybenzoyl}","向日葵醯基 {3,4-亞甲二氧苯甲醯基}",,"3,4-(CH<sub>2</sub>O<sub>2</sub>)C<sub>6</sub>H<sub>3</sub>CO－",2012-11-26
536042,pivaloyl,三甲基乙醯基,,(CH<sub>3</sub>)<sub>3</sub>CCO－,2012-11-26
536043,pivaloyl {pivalyl},三甲基乙醯基,,(CH<sub>3</sub>)<sub>3</sub>CCO－,2012-11-26
536044,pivalyl {pivaloyl},三甲基乙醯基,,(CH<sub>3</sub>)<sub>3</sub>CCO－,2012-11-26
536045,pleiadenyl,【艹卜】基,,C<sub>1</sub><sub>8</sub>H<sub>1</sub><sub>1</sub>－,2012-11-26
536046,polythio,多硫基,,－(S)<sub>n</sub>－,2012-11-26
536047,prolyl,脯胺醯基,,C<sub>4</sub>H<sub>8</sub>NCO－,2012-11-26
536048,propan-1-yl-3-ylidene,丙-1-基-3-亞基,,=CHCH<sub>2</sub>CH<sub>2</sub>－,2012-11-26
536049,"propane-1,2,3-triyl","丙-1,2,3-三基",,,2012-11-26
536050,"propane-1,3-diyl-2-ylidene","丙-1,3-二基-2-亞基",,,2012-11-26
536051,propanedioyl {malonyl},丙二醯基,,－COCH<sub>2</sub>CO－,2012-11-26
536052,propanoyl,丙醯基,,CH<sub>3</sub>CH<sub>2</sub>CO－,2012-11-26
536053,propargyl {2-propynyl},炔丙基 {2-丙炔基},,CH≡CCH<sub>2</sub>－,2012-11-26
536054,"propene-1,3-diyl {propenylene}","丙烯-1,3-二基 {伸丙烯基}",,－CH<sub>2</sub>CH=CH－,2012-11-26
536055,1-propenyl,1-丙烯基,,CH<sub>3</sub>CH=CH－,2012-11-26
536056,"propenylene {propene-1,3-diyl}","伸丙烯基 {丙烯-1,3-二基}",,－CH<sub>2</sub>CH=CH－,2012-11-26
536057,propenylidene,亞丙烯基,,CH<sub>3</sub>CH=C=,2012-11-26
536058,propioloyl {propiolyl},丙炔醯基；炔丙醯基,,CH≡CCO－,2012-11-26
536059,propiolyl {propioloyl},丙炔醯基；炔丙醯基,,CH≡CCO－,2012-11-26
536060,propionamido,丙醯胺基,,CH<sub>3</sub>CH<sub>2</sub>CONH－,2012-11-26
536061,propionyl,丙醯基,,CH<sub>3</sub>CH<sub>2</sub>CO－,2012-11-26
536062,propionylamino,丙醯胺基,,CH<sub>3</sub>CH<sub>2</sub>CONH－,2012-11-26
536063,propionyloxy,丙醯氧基,,CH<sub>3</sub>CH<sub>2</sub>COO－,2012-11-26
536064,propoxy,丙氧基,,CH<sub>3</sub>CH<sub>2</sub>CH<sub>2</sub>O－,2012-11-26
536065,propyl,丙基,,CH<sub>3</sub>CH<sub>2</sub>CH<sub>2</sub>－,2012-11-26
536066,propylene,伸丙基,,－CH<sub>2</sub>CH<sub>2</sub>CH<sub>2</sub>－,2012-11-26
536067,propylidene,1-亞丙基,,CH<sub>3</sub>CH<sub>2</sub>CH=,2012-11-26
536068,propylidyne,次丙基,,CH<sub>3</sub>CH<sub>2</sub>C≣,2012-11-26
536069,1-propynyl,1-丙炔基,,CH<sub>3</sub>C≡C－,2012-11-26
536070,2-propynyl {propargyl},2-丙炔基 {炔丙基},,CH≡CCH<sub>2</sub>－,2012-11-26
536071,protocatechuoyl,[原]兒茶酚甲醯基,,"3,4-(HO)<sub>2</sub>C<sub>6</sub>H<sub>3</sub>CO－",2012-11-26
536072,"protocatechuoyl {3,4-dihydroxybenzoyl}","兒茶酚甲醯基 {3,4-二羥苯甲醯基；3,4-二羥苄醯基}",,"3,4-(HO)<sub>2</sub>C<sub>6</sub>H<sub>3</sub>CO－",2012-11-26
536073,"pseudocumyl {2,3,5-trimethylphenyl}","假【草(之上)久】基{2,4,5-三甲苯基}",,(CH<sub>3</sub>)<sub>3</sub>C<sub>6</sub>H<sub>2</sub>－,2012-11-26
536074,pseudoindoyl,假吲哚基,,C<sub>8</sub>H<sub>6</sub>N－,2012-11-26
536075,pteridinyl,喋啶基,,N<sub>4</sub>C<sub>6</sub>H<sub>3</sub>－,2012-11-26
536076,purinyl,嘌呤基,,N<sub>4</sub>C<sub>5</sub>H<sub>3</sub>－,2012-11-26
536077,pyazolidyl; pyrazolidinyl,吡唑啶基,,N<sub>2</sub>C<sub>3</sub>H<sub>7</sub>－,2012-11-26
536078,pyranthrenyl,苒基；芘蒽基,,C<sub>30</sub>H<sub>1</sub><sub>5</sub>－,2012-11-26
536079,pyranyl,哌喃基,,C<sub>5</sub>H<sub>5</sub>O－,2012-11-26
536080,pyranylidene,亞哌喃基,,OC<sub>5</sub>H<sub>4</sub>＝,2012-11-26
536081,pyrazinyl,吡【口井】基,,C<sub>4</sub>H<sub>3</sub>N<sub>2</sub>－,2012-11-26
536082,pyrazolinyl,吡唑啉基；二氫吡唑基,,N<sub>2</sub>C<sub>3</sub>H<sub>5</sub>－,2012-11-26
536083,pyrazolyl,吡唑基,,C<sub>3</sub>H<sub>5</sub>N<sub>2</sub>－,2012-11-26
536084,pyrenyl,芘基,,C<sub>1</sub><sub>6</sub>H<sub>9</sub>－,2012-11-26
536085,pyridazinyl,嗒【口井】基,,N<sub>2</sub>C<sub>4</sub>H<sub>3</sub>－,2012-11-26
536086,2-pyridinecarbonyl {2-pyridylcarbonyl; nicotinoyl},2-吡啶羰基；2-吡啶甲醯基 {菸鹼醯基},,NC<sub>5</sub>H<sub>4</sub>CO－,2012-11-26
536087,4-pyridinecarbonyl {isonicotinoyl},4-吡啶羰基；4-吡啶甲醯基 {異菸鹼醯基},,NC<sub>5</sub>H<sub>4</sub>CO－,2012-11-26
536088,pyridinio,吡錠基,,<sup>+</sup>NC<sub>5</sub>H<sub>5</sub>－,2012-11-26
536089,2-pyridylcarbonyl,2-吡啶羰基；2-吡啶甲醯基,,NC<sub>5</sub>H<sub>4</sub>CO－,2012-11-26
536090,pyridyl,吡啶基,,C<sub>5</sub>H<sub>4</sub>N－,2012-11-26
536091,pyridylidene,伸二氫吡啶基,,NC<sub>5</sub>H<sub>5</sub>=,2012-11-26
536092,pyridyloxy,吡啶氧基,,NC<sub>5</sub>H<sub>4</sub>O－,2012-11-26
536093,pyrimidinyl {pyrimidyl},嘧啶基,,C<sub>4</sub>H<sub>3</sub>N<sub>2</sub>－,2012-11-26
536094,pyrimidyl {pyrimidinyl},嘧啶基,,C<sub>4</sub>H<sub>3</sub>N<sub>2</sub>－,2012-11-26
536095,pyromucyl {2-furoyl},焦黏醯基；糠醯基{2-呋喃甲醯基},,OCH=CHCH=CCO－,2012-11-26
536096,pyrrolidinyl,吡咯啶基；四氫吡咯基,,NC<sub>4</sub>H<sub>8</sub>－,2012-11-26
536097,pyrrolinyl,吡咯啉基；二氫吡咯基,,NC<sub>4</sub>H<sub>6</sub>－,2012-11-26
536098,pyrrolyl,吡咯基,,NC<sub>4</sub>H<sub>4</sub>－,2012-11-26
536099,pyruvoyl,丙酮醯基,,CH<sub>3</sub>COCO－,2012-11-26
536100,quinazolinyl,喹唑啉基,,C<sub>8</sub>H<sub>5</sub>N<sub>2</sub>－,2012-11-26
536101,quinolinediyl,喹啉二基,,－NC<sub>9</sub>H<sub>5</sub>－,2012-11-26
536102,quinolizinyl,喹【口井】基,,NC<sub>9</sub>H<sub>8</sub>－,2012-11-26
536103,quinolyl,喹啉基,,NC<sub>9</sub>H<sub>6</sub>－,2012-11-26
536104,quinonyl; benzoquinonyl,苯醌基,,C<sub>6</sub>H<sub>3</sub>O<sub>2</sub>－,2012-11-26
536105,quinoxalinyl,喹【口咢】啉基,,C<sub>8</sub>H<sub>5</sub>N<sub>2</sub>－,2012-11-26
536106,quinuclidinyl,【口昆】啶基,,C<sub>7</sub>H<sub>1</sub><sub>2</sub>N－,2012-11-26
536107,resorcyl,間苯二酚基,,(HO)<sub>2</sub>C<sub>6</sub>H<sub>3</sub>－,2012-11-26
536108,rubicenyl,茹基,,C<sub>2</sub><sub>6</sub>H<sub>1</sub><sub>3</sub>－,2012-11-26
536109,salicyl,柳基,,2-HOC<sub>6</sub>H<sub>4</sub>CH<sub>2</sub>－,2012-11-26
536110,salicyl {o-hydroxybenzyl; 2-hydroxybenzyl},柳基 {鄰-羥苄基；2-羥苄基},,<p>HOC<sub>6</sub>H<sub>5</sub>CH<sub>2</sub>－</p>,2012-11-26
536111,salicylidene,亞柳基,,HOC<sub>6</sub>H<sub>4</sub>CH=,2012-11-26
536112,salicylidene {2-hydroxybenzylidene },亞柳基 {2-羥亞苄基},,2-HOC<sub>6</sub>H<sub>4</sub>CH=,2012-11-26
536113,salicyloyl,柳醯基；鄰-羥苯甲醯基,,<p>HOC<sub>6</sub>H<sub>4</sub>CO－</p>,2012-11-26
536114,salicyloyl {o-hydroxybenzoyl},柳醯基 {鄰-羥苯甲醯基；鄰-羥苄醯基},,<p>o-HOC<sub>6</sub>H<sub>4</sub>CO－</p>,2012-11-26
536115,santalyl,檀香基,,C<sub>1</sub><sub>5</sub>H<sub>2</sub><sub>3</sub>－,2012-11-26
536116,sebacoyl,皮脂醯基；癸二醯基,,－CO(CH<sub>2</sub>)<sub>8</sub>CO－,2012-11-26
536117,seleneno,羥硒基,,HOSe－,2012-11-26
536118,selenino,亞【酉西】酸基,,HO<sub>2</sub>Se－,2012-11-26
536119,seleninyl,亞【酉西】醯基；硒亞碸基,,OSe＜,2012-11-26
536120,seleno,硒基,,－Se－,2012-11-26
536121,selenocyanato,氰硒基,,NCSe－,2012-11-26
536122,selenoformyl,硒代甲醯基；硒醛基,,HSeC－,2012-11-26
536123,selenonio,二氫硒基,,<sup>+</sup>H<sub>2</sub>Se－,2012-11-26
536124,selenono,【酉西】酸基,,HO<sub>3</sub>Se－,2012-11-26
536125,selenonyl,【酉西】醯基；硒碸基,,O<sub>2</sub>Se＜,2012-11-26
536126,selenoureido,硒脲基,,H<sub>2</sub>NCSeNH－,2012-11-26
536127,selenoxo,硒羰基,,(＞C)=Se,2012-11-26
536128,semicarbazido,半卡肼基,,H<sub>2</sub>NCONHNH－,2012-11-26
536129,semicarbazono,半卡腙基,,H<sub>2</sub>NCONHN=,2012-11-26
536130,senecioyl,異戊烯醯基；二甲烯丙醯基,,(CH<sub>3</sub>)<sub>2</sub>C=CHCO－,2012-11-26
536131,seryl,絲胺醯基,,HOCH<sub>2</sub>CH(NH<sub>2</sub>)CO－,2012-11-26
536132,silicono,【酉夕】酸基,,(HO)OSi－,2012-11-26
536133,siloxy,矽[烷]氧基,,H<sub>3</sub>SiO－,2012-11-26
536134,silyl,矽基,,H<sub>3</sub>Si－,2012-11-26
536135,silylamino,矽胺基,,H<sub>3</sub>SiNH－,2012-11-26
536136,1-silyldisilanyl,1-矽二矽烷基；異三矽烷基,,(H<sub>3</sub>Si)<sub>2</sub>SiH－,2012-11-26
536137,silylene,亞矽基,,H<sub>2</sub>Si=,2012-11-26
536138,silylidene,次矽基,,HSi≣,2012-11-26
536139,stannyl,錫烷基,,H<sub>3</sub>Sn－,2012-11-26
536140,stearoyl {octadecanoyl},硬脂醯基 {十八醯基},,C<sub>1</sub><sub>7</sub>H<sub>3</sub><sub>5</sub>CO－,2012-11-26
536141,stibarseno,銻砷基,,－Sb=As－,2012-11-26
536142,stibinico,一元【月弟】酸基,,HOOSb=,2012-11-26
536143,stibino {stibyl},【月弟】基,,H<sub>2</sub>Sb－,2012-11-26
536144,stiboso,氧銻基,,OSb－,2012-11-26
536145,stibyl,【月弟】基,,H<sub>2</sub>Sb－,2012-11-26
536146,stibylene,亞【月弟】基；亞銻烷基,,HSb=,2012-11-26
536147,styryl {cinnamenyl},苯乙烯基 {蘇合香基},,C<sub>6</sub>H<sub>5</sub>CH=CH－,2012-11-26
536148,suberoyl,"1,8-辛二醯基",,－CO(CH<sub>2</sub>)<sub>6</sub>CO－,2012-11-26
536149,suberyl,環庚基,,C<sub>7</sub>H<sub>1</sub><sub>3</sub>－,2012-11-26
536150,succinamoyl {succinamyl},琥珀醯胺醯基,,H<sub>2</sub>NCOCH<sub>2</sub>CH<sub>2</sub>CO－,2012-11-26
536151,succinamyl {succinamoyl},琥珀醯胺醯基,,H<sub>2</sub>NCOCH<sub>2</sub>CH<sub>2</sub>CO－,2012-11-26
536152,succinimido,琥珀醯亞胺基；丁二醯亞胺基,,COCH<sub>2</sub>CH<sub>2</sub>CON－,2012-11-26
536153,succinimidoyl,琥珀醯亞胺基,,－C(=NH)CH<sub>2</sub>CH<sub>2</sub>C(=NH)－,2012-11-26
536154,succinyl,琥珀醯基；丁二醯基,,－COCH<sub>2</sub>CH<sub>2</sub>CO－,2012-11-26
536155,sulfamino,磺酸胺基,,HO<sub>3</sub>SNH－,2012-11-26
536156,sulfamoyl {sulfamyl},胺磺醯基,,H<sub>2</sub>NSO<sub>2</sub>－,2012-11-26
536157,sulfamyl {sulfamoyl},胺磺醯基,,H<sub>2</sub>NSO<sub>2</sub>－,2012-11-26
536158,sulfanilamido,磺胺基；胺苯磺醯胺基,,H<sub>2</sub>NC<sub>6</sub>H<sub>4</sub>SO<sub>2</sub>NH－,2012-11-26
536159,sulfanilamido,對胺苯磺醯胺基,,p-NH<sub>2</sub>C<sub>6</sub>H<sub>4</sub>SO<sub>2</sub>NH－,2012-11-26
536160,sulfanilyl,[對]胺苯磺醯基,,H<sub>2</sub>NC<sub>6</sub>H<sub>4</sub>SO<sub>2</sub>－,2012-11-26
536161,sulfenamoyl,胺硫基,,NH<sub>2</sub>S－,2012-11-26
536162,sulfeno,次磺酸基,,HOS－,2012-11-26
536163,sulfhydryl,氫硫基；硫醇基；巰基,,HS－,2012-11-26
536164,sulfido,硫離子基,,<sup>－</sup>S－,2012-11-26
536165,sulfinamoyl,胺亞磺醯基,,NH<sub>2</sub>SO－,2012-11-26
536166,sulfino,亞磺酸基,,HO<sub>2</sub>S－,2012-11-26
536167,sulfinyl,亞磺醯基；氧硫基,,RS(O)－,2012-11-26
536168,sulfo,磺酸基,,HOSO<sub>2</sub>－,2012-11-26
536169,sulfonamido,磺醯胺基,,－SO<sub>2</sub>NH－,2012-11-26
536170,sulfonato,磺酸根基,,<sup>－</sup>O<sub>3</sub>S－,2012-11-26
536171,sulfonio,二氫硫基,,<sup>+</sup>H<sub>2</sub>S－,2012-11-26
536172,sulfonyl,磺醯基；碸基,,RSO<sub>2</sub>━,2015-09-17
536173,sulfonyldioxy,磺醯二氧基,,－OSO<sub>2</sub>O－,2012-11-26
536174,sulfophenyl,磺[酸基]苯基,,HO<sub>3</sub>SC<sub>6</sub>H<sub>4</sub>－,2012-11-26
536175,sulfuryl,硫醯基,,－SO<sub>2</sub>－,2012-11-26
536176,tartaroyl ,酒石醯基,,－COCH(OH)CH(OH)CO－,2012-11-26
536177,"tartaroyl {2,3-dihydroxybutanedioyl}","酒石醯基 {2,3-二羥丁二醯基}",,－OCCH(OH)CH(OH)CO－,2012-11-26
536178,tartronoyl {tartronyl},羥丙二醯基；丙醇二醯基,,－OCCH(OH)CO－,2012-11-26
536179,tartronyl {tartronoyl},羥丙二醯基；丙醇二醯基,,－OCCH(OH)CO－,2012-11-26
536180,tauryl,牛[膽]磺醯基；胺乙磺醯基,,H<sub>2</sub>NCH<sub>2</sub>CH<sub>2</sub>SO<sub>2</sub>－,2012-11-26
536181,telluro,碲基,,－Te－,2012-11-26
536182,(tercyclohexan)yl,聯三環己基,,C<sub>6</sub>H<sub>1</sub><sub>1</sub>C<sub>6</sub>H<sub>10</sub>C<sub>6</sub>H<sub>10</sub>－,2012-11-26
536183,terephthalal; terephthalyidene,對苯二亞甲基,,=CHC<sub>6</sub>H<sub>4</sub>CH=,2012-11-26
536184,terephthaloyl,對酞醯基；對苯二甲醯基,,－OCC<sub>6</sub>H<sub>4</sub>CO－,2012-11-26
536185,terphenylyl,聯三苯基,,C<sub>6</sub>H<sub>5</sub>C<sub>6</sub>H<sub>4</sub>C<sub>6</sub>H<sub>4</sub>－,2012-11-26
536186,(terthiophen)yl,聯三噻吩基,,SC<sub>4</sub>H<sub>3</sub>SC<sub>4</sub>H<sub>2</sub>SC<sub>4</sub>H<sub>2</sub>－,2012-11-26
536187,terpinyl,【草(之上)孟】烯基,,C<sub>10</sub>H<sub>1</sub><sub>7</sub>－,2012-11-26
536188,tert-pentyl,三級-戊基,,CH<sub>3</sub>CH<sub>2</sub>C(CH<sub>3</sub>)<sub>2</sub>－,2021-09-28
536189,tetracontyl,四十基,,C<sub>40</sub>H<sub>8</sub><sub>1</sub>－,2012-11-26
536190,tetracosyl,二十四基,,C<sub>2</sub><sub>4</sub>H<sub>4</sub><sub>9</sub>－,2012-11-26
536191,tetradecanoyl,十四醯基 {肉豆蔻醯基},,C<sub>1</sub><sub>3</sub>H<sub>2</sub><sub>7</sub>CO－,2012-11-26
536192,tetradecyl,十四基,,C<sub>1</sub><sub>4</sub>H<sub>2</sub><sub>9</sub>－,2012-11-26
536193,tetrahydrofurfuryl,四氫糠基；四氫呋喃甲基,,C<sub>4</sub>H<sub>7</sub>OCH<sub>2</sub>－,2012-11-26
536194,tetralyl,四氫萘基,,C<sub>10</sub>H<sub>1</sub><sub>1</sub>－,2012-11-26
536195,tetramethylene,伸丁基；四亞甲基,,－CH<sub>2</sub>CH<sub>2</sub>CH<sub>2</sub>CH<sub>2</sub>－,2012-11-26
536196,tetramethylphenylene,四甲伸苯基,,(CH<sub>3</sub>)<sub>4</sub>C<sub>6</sub><,2012-11-26
536197,tetramethyl-p-phenylene,四甲對伸苯基,,(CH<sub>3</sub>)<sub>4</sub>C<sub>6</sub><,2012-11-26
536198,"2,3,5,6-tetramethylphenyl {duryl}","2,3,5,6-四甲苯基 {荰基}",,(CH<sub>3</sub>)<sub>4</sub>C<sub>6</sub>H－,2012-11-26
536199,tetraphenylenyl,聯四苯基,,C<sub>2</sub><sub>4</sub>H<sub>1</sub><sub>5</sub>－,2012-11-26
536200,tetrazolyl,四唑基,,N<sub>4</sub>CH－,2012-11-26
536201,tetrazolyl; tetrazyl,四唑基,,CHN<sub>4</sub>－,2012-11-26
536202,thenoyl,噻吩甲醯基,,C<sub>4</sub>H<sub>3</sub>SCO－,2012-11-26
536203,thenyl,噻吩甲基,,C<sub>4</sub>H<sub>3</sub>SCH<sub>2</sub>－,2012-11-26
536204,thenylidene,噻吩亞甲基,,C<sub>4</sub>H<sub>3</sub>SCH=,2012-11-26
536205,thianthrenyl,噻嗯基,,S<sub>2</sub>C<sub>1</sub><sub>2</sub>H<sub>7</sub>－,2012-11-26
536206,thiazinyl,噻【口井】基,,C<sub>4</sub>H<sub>4</sub>NS－,2012-11-26
